Espe.vida,Apo.social,liber deciciones,Percep corrupcion,Puntuacion de felicidad
72.76,0.98,0.94,0.69,7.632
71.57,0.96,0.94,0.23,7.594
71.52,0.96,0.95,0.22,7.555
71.31,0.96,0.95,0.19,7.495
63.03,0.95,0.98,0.47,7.487
71.58,0.95,0.89,0.38,7.441
71.09,0.95,0.95,0.32,7.328
72.65,0.95,0.92,0.39,7.324
71.79,0.94,0.82,0.44,7.314
73.17,0.94,0.93,0.29,7.272
74.36,0.93,0.75,0.81,7.19
68.42,0.93,0.67,0.92,7.139
67.2,0.93,0.84,0.63,6.977
72.19,0.93,0.92,0.41,6.965
66.52,0.93,0.67,0.93,6.927
71.83,0.93,0.92,0.68,6.91
63.35,0.93,0.83,0.81,6.886
72.2,0.93,0.91,0.35,6.814
62.1,0.93,0.45,0.89,6.774
63.86,0.93,0.76,0.72,6.711
66.42,0.92,0.68,0.93,6.627
70.94,0.92,0.91,0.85,6.489
72.05,0.92,0.89,0.53,6.488
72.75,0.92,0.93,0.24,6.476
73.78,0.92,0.61,0.89,6.441
66.03,0.92,0.63,0.66,6.43
65.82,0.92,0.86,0.89,6.419
61.74,0.92,0.86,0.91,6.388
70.88,0.91,0.83,0.88,6.382
71.62,0.91,0.91,0.4,6.379
72.14,0.91,0.86,0.5,6.374
62.83,0.91,0.71,0.9,6.371
71.08,0.91,0.87,0.43,6.343
65.24,0.91,0.79,0.78,6.322
69.77,0.91,0.83,0.7,6.31
64.67,0.91,0.49,0.85,6.26
67.4,0.91,0.85,0.85,6.192
72.59,0.9,0.81,0.62,6.173
75.09,0.9,0.45,0.67,6.167
69.7,0.9,0.91,0.76,6.141
68.25,0.9,0.9,0.66,6.123
65.11,0.9,0.68,0.82,6.105
75.72,0.9,0.91,0.1,6.096
68.57,0.9,0.83,0.83,6.083
63.34,0.89,0.86,0.75,6.072
63.98,0.89,0.82,0.87,6
67.88,0.89,0.88,0.83,5.973
70.98,0.89,0.45,0.8,5.956
71.95,0.89,0.76,0.8,5.952
71.81,0.89,0.85,0.92,5.948
66.24,0.88,0.91,0.89,5.945
62.68,0.88,0.83,0.88,5.933
63.17,0.88,0.51,0.93,5.915
54.38,0.88,0.81,0.84,5.891
67.02,0.88,0.59,0.91,5.89
65.52,0.87,0.87,0.85,5.875
65.57,0.87,0.65,0.75,5.835
65.55,0.87,0.62,0.87,5.81
66.07,0.86,0.89,0.8,5.762
61.39,0.86,0.79,0.67,5.752
60.57,0.85,0.45,0.63,5.739
69.44,0.85,0.74,0.83,5.663
67.15,0.85,0.84,0.72,5.662
66.02,0.84,0.82,0.71,5.64
65.14,0.84,0.45,0.85,5.636
60.13,0.84,0.91,0.75,5.62
63.52,0.84,0.57,0.95,5.524
55.5,0.83,0.81,0.83,5.483
66.95,0.83,0.59,0.8,5.472
63.14,0.82,0.88,0.82,5.43
65.06,0.82,0.67,0.84,5.398
67.94,0.82,0.78,0.77,5.358
65.21,0.82,0.82,0.88,5.352
53.19,0.81,0.48,0.77,5.347
53.82,0.81,0.39,0.8,5.321
65.73,0.81,0.71,0.85,5.302
48.78,0.81,0.68,0.84,5.295
64.1,0.81,0.76,0.79,5.254
60.95,0.81,0.45,0.8,5.201
60,0.81,0.88,0.85,5.199
66.86,0.8,0.82,0.95,5.185
62.95,0.8,0.6,0.81,5.161
46.48,0.8,0.73,0.74,5.155
60.44,0.8,0.83,0.91,5.131
63.58,0.8,0.76,0.81,5.125
74.04,0.8,0.45,0.85,5.103
71.65,0.8,0.48,0.86,5.093
72.61,0.79,0.73,0.88,5.082
62.81,0.79,0.8,0.7,4.982
57.51,0.79,0.86,0.62,4.975
57.11,0.79,0.84,0.78,4.933
45.5,0.78,0.76,0.89,4.88
68.72,0.78,0.62,0.88,4.806
56.71,0.78,0.67,0.85,4.758
67.19,0.78,0.69,0.87,4.743
62.97,0.78,0.74,0.62,4.724
65.6,0.78,0.44,0.7,4.707
50.43,0.77,0.64,0.85,4.657
52.46,0.77,0.37,0.83,4.631
57.63,0.76,0.72,0.8,4.623
58.92,0.76,0.87,0.78,4.592
51.99,0.75,0.64,0.71,4.586
51.8,0.75,0.72,0.76,4.571
51.45,0.75,0.75,0.83,4.559
58.37,0.75,0.96,0.83,4.5
67.84,0.75,0.61,0.95,4.471
54.8,0.74,0.58,0.83,4.456
58.3,0.73,0.8,0.84,4.447
53.26,0.73,0.8,0.8,4.441
